nb_mots,nb_liens,nb_mots_sensibles,score_html,est_reponse,domaine_expediteur,jour_semaine,label
134,0,0,0.4629740118747546,0,inconnu,Samedi,0
115,0,0,0.9096245294121815,0,gmail.com,Vendredi,0
139,1,1,0.42660278045988287,0,outlook.com,Mardi,0
165,1,1,0.6298441768795017,1,gmail.com,Mardi,0
112,3,0,0.0353508210406942,1,yahoo.com,Dimanche,0
112,2,0,0.0778001133220988,0,outlook.com,Mardi,0
167,1,1,0.08130807330331846,0,outlook.com,Vendredi,0
143,1,0,0.7782407636264455,0,entreprise.ma,Vendredi,0
105,4,1,0.3502568948034527,0,outlook.com,Jeudi,0
136,2,0,0.22761168836581336,1,gmail.com,Vendredi,0
106,1,1,0.7473245684517227,0,banque.ma,Mardi,0
106,1,0,0.16996006255617446,0,entreprise.ma,Samedi,0
127,1,0,0.24649252507028063,0,gmail.com,Dimanche,0
62,0,0,0.43093144327002086,1,entreprise.ma,Mardi,0
68,3,1,0.33143806901461326,0,inconnu,Vendredi,0
103,2,2,0.5853922110366443,0,outlook.com,Vendredi,0
89,0,1,0.33784061907484764,1,gmail.com,Dimanche,0
129,5,0,0.3929516358588919,0,outlook.com,Jeudi,0
92,0,0,0.8628866082494859,0,gmail.com,Lundi,0
77,1,0,0.8845314396280024,0,outlook.com,Vendredi,0
163,3,1,0.8277111908134075,1,yahoo.com,Lundi,0
113,1,2,0.8648309327046326,1,inconnu,Mercredi,0
122,2,2,0.569728669339117,0,outlook.com,Dimanche,0
77,2,0,0.646233214751384,0,gmail.com,Lundi,0
103,1,0,0.5571731665549405,0,entreprise.ma,Vendredi,0
123,3,0,0.78558808405292,0,gmail.com,Mardi,0
85,1,0,0.5510004857614442,0,gmail.com,Mardi,0
131,2,0,0.11107696455078053,0,yahoo.com,Vendredi,0
101,2,1,0.8095801204568599,0,gmail.com,Jeudi,0
111,2,1,0.7605851706775364,1,inconnu,Samedi,0
101,0,0,0.8203005952826253,0,yahoo.com,Vendredi,0
175,1,0,0.19042946338976185,0,entreprise.ma,Vendredi,0
119,4,0,0.27161705271496706,0,gmail.com,Samedi,0
88,0,1,0.29575169726353,0,entreprise.ma,Jeudi,0
144,1,0,0.5080805361856736,0,outlook.com,Jeudi,0
83,0,0,0.13387708416345978,0,yahoo.com,Mercredi,0
126,2,2,0.38538175327486734,1,inconnu,Mercredi,0
61,4,0,0.1821581610790296,1,yahoo.com,Mercredi,0
80,3,0,0.26476271303273646,0,outlook.com,Jeudi,0
125,0,2,0.7063876345584273,0,gmail.com,Lundi,0
142,1,1,0.8548111563172811,0,gmail.com,Vendredi,0
125,0,0,0.022905866597183855,1,banque.ma,Dimanche,0
116,1,1,0.5658969633550004,0,entreprise.ma,Mercredi,0
110,3,1,0.03605976206226713,0,yahoo.com,Dimanche,0
75,0,0,0.08524924501155029,1,inconnu,Lundi,0
98,3,1,0.7050840346141091,1,yahoo.com,Vendredi,0
106,2,0,0.7356081065021166,1,outlook.com,Samedi,0
151,2,0,0.8139806731727988,1,yahoo.com,Samedi,0
